CASEID,V102,V106,V113
10060075004,0,3,0
10060076204,0,1,0
10060076603,0,1,0
10060076603,0,1,0
10060071204,0,1,0
10060071204,0,1,0
10060071602,0,2,0
10060379904,0,1,0
10060374502,0,0,0
10060375802,0,1,0
10060375802,0,1,0
10060374004,0,3,0
10060374004,0,3,0
10060377704,0,0,0
10060377704,0,0,0
10060371104,0,0,0
10060371104,0,0,0
10060379802,0,1,0
10060376202,0,1,0
10060377102,0,3,0
10060377102,0,3,0
10060272102,0,3,0
10060273804,0,1,1
10060279802,0,1,0
10060273002,0,0,0
10060278002,0,0,0
10060054902,0,3,0
10060056904,0,1,0
10060052102,0,3,0
10060059002,0,3,0
10060056202,0,3,0
10060220802,0,1,1
10060220102,0,3,0
10060163202,0,2,1
10060160304,0,2,1
10060166502,0,1,1
10060167302,0,1,1
10060164302,0,1,1
10060160802,0,3,1
10060166804,0,2,1
10060160402,0,1,1
10060160402,0,1,1
10060110302,0,1,1
10060113902,0,1,0
10060119004,0,1,0
10060118602,0,1,0
10060111402,0,1,1
10060111402,0,1,1
10060111302,0,1,0
10060111302,0,1,0
10060113004,0,1,0
10060118002,0,1,1
10060329702,0,1,0
10060327304,0,1,0
10060326504,0,1,0
10060329304,0,1,0
10060328305,0,1,1
10060328504,0,1,0
10060322602,0,1,0
10060320604,0,1,0
10060320604,0,1,0
10060128404,0,1,1
10060123704,0,1,1
10060127404,0,1,0
10060129304,0,1,0
10060129304,0,1,0
10060121602,0,1,0
10060121602,0,1,0
10060121102,0,2,0
10060123502,0,2,1
10060126802,0,1,0
10060147104,0,1,0
10060147104,0,1,0
10060141402,0,1,1
10060141402,0,1,1
10060141102,0,0,1
10060141102,0,0,1
10060145303,0,1,1
10060145504,0,1,1
10060145504,0,1,1
10060146405,0,3,0
10060146405,0,3,0
10060143302,0,1,1
10060147502,0,1,1
10060147502,0,1,1
10060140304,0,1,1
10060140304,0,1,1
10060148602,0,1,1
10060145104,0,1,1
10060337402,0,1,0
10060337304,0,3,0
10060335302,0,1,0
10060333102,0,1,0
10060333102,0,1,0
10060332404,0,2,0
10060332404,0,2,0
10060330502,0,1,0
10060044604,0,1,0
10060046404,0,1,0
10060044204,0,1,0
10060044204,0,1,0
10060041502,0,0,1
10060046904,0,2,0
10060043804,0,1,1
10060040404,0,1,0
10060046204,0,0,0
10060036402,0,0,0
10060036902,0,0,0
10060035802,0,0,0
10060080802,0,3,1
10060087504,0,1,0
10060084104,0,1,0
10060089302,0,1,0
10060089302,0,1,0
10060084402,0,3,0
10060084402,0,3,0
10060085902,0,3,0
10060087302,0,3,0
10060420702,0,3,1
10060422904,0,1,1
10060426203,0,1,1
10060423404,0,0,0
